t               y(t)           
0.042           0.090415957566 
0.0519085       0.0984752057019
0.10262264      0.11734758     
0.1117          0.142509014914 
0.15592         0.211921513368 
0.17383923      0.21656448     
0.2094294       0.25621137239  
0.21342619      0.26175011761  
0.21385894      0.27390085455  
0.27            0.348514317408 
0.28075         0.373288207964 
0.29584013      0.413151596069 
0.3464815       0.416852197275 
0.35            0.417243475301 
0.36807889      0.421211405763 
0.372985        0.436582140846 
0.39325246      0.439697120262 
0.50620017      0.4491375      
0.528           0.450602046624 
0.53012         0.4524255      
0.57681501876   0.455635140937 
0.57982969      0.458228008747 
